timestamp,driver,car_number,speed_kph,engine_rpm,gear,throttle,brake,steering_angle,lap_distance
2025-04-29T00:15:53.455669,Charles Leclerc,8,223.66,13563,5,66.66,22.8,21.37,649.81
2025-04-05T13:05:12.951890,Carlos Sainz,4,107.76,9533,1,29.25,75.35,16.91,4793.09
2025-04-15T01:40:47.983536,Carlos Sainz,15,235.25,14978,3,94.35,60.71,74.85,2430.81
2025-01-02T03:02:04.377221,George Russell,11,196.99,12273,1,79.84,75.85,64.16,2787.05
2025-03-21T19:36:47.683275,Fernando Alonso,4,131.36,9852,7,18.31,49.34,-82.77,3673.44
2025-03-16T09:17:21.479844,Lewis Hamilton,19,271.02,14829,3,76.18,95.74,-74.07,2931.8
2025-02-20T16:38:48.218210,Sebastian Vettel,15,160.72,11228,3,51.65,84.88,-38.63,1081.27
2025-04-21T14:53:38.309264,Fernando Alonso,18,296.73,12947,5,85.01,66.09,51.72,1289.97
2025-04-07T05:45:04.315916,Lando Norris,13,323.54,14374,6,46.67,88.58,28.25,2548.37
2025-03-14T23:43:09.839776,Daniel Ricciardo,16,100.03,13546,8,34.8,13.26,22.76,324.53
2025-02-07T05:16:53.833458,Lewis Hamilton,12,236.71,11965,2,18.45,60.79,17.32,2014.91
2025-04-07T19:20:33.768618,Lewis Hamilton,12,324.84,11376,2,13.93,58.29,-8.67,1166.77
2025-01-25T23:55:11.749370,Sergio Perez,17,311.45,9609,8,4.22,46.93,-15.4,3234.04
2025-03-14T02:47:25.891899,Charles Leclerc,1,286.61,10683,1,75.12,26.28,-44.63,3417.54
2025-01-23T13:25:54.358408,Lewis Hamilton,14,274.12,12131,8,13.43,8.32,-65.72,4825.34
2025-01-18T09:16:34.837541,Carlos Sainz,6,102.21,9429,3,2.11,78.65,79.52,3946.27
2025-01-20T14:13:34.070209,Sebastian Vettel,12,175.59,14732,2,15.17,65.21,-73.48,642.02
2025-02-12T02:12:51.787343,Fernando Alonso,5,101.37,12901,8,78.02,45.6,25.85,1625.34
2025-03-16T08:15:32.556745,George Russell,7,328.81,12319,5,74.44,56.24,29.07,2896.29
2025-02-26T00:44:54.028987,Lando Norris,1,229.93,8817,4,36.77,29.97,2.4,2640.34
2025-03-30T09:09:25.213565,George Russell,1,271.64,13882,3,16.05,61.05,24.72,3795.41
2025-02-01T11:43:12.900631,George Russell,20,258.03,14390,6,55.64,71.98,51.16,2440.77
2025-04-07T15:18:48.064902,Lando Norris,19,177.91,8315,8,38.37,6.71,-40.23,476.63
2025-04-01T14:38:36.406139,Charles Leclerc,13,151.77,14362,4,88.01,82.25,-66.13,4266.9
2025-03-23T10:46:38.910614,Charles Leclerc,18,245.47,12588,3,47.95,75.93,42.01,2660.47
2025-04-26T17:38:25.873177,Sebastian Vettel,6,151.57,8987,2,8.13,59.52,71.77,1555.54
2025-04-25T09:06:28.391933,Carlos Sainz,1,221.09,13807,3,61.15,18.67,80.04,4398.89
2025-01-09T07:33:43.771371,Sebastian Vettel,8,261.18,11290,8,36.37,88.84,48.55,691.1
2025-04-13T16:31:06.949131,Sergio Perez,2,325.69,9010,8,28.16,29.71,26.91,2980.73
2025-03-03T00:38:22.099124,Lewis Hamilton,3,137.58,10159,3,33.86,86.49,-75.85,3205.68
2025-01-16T18:12:07.455928,George Russell,5,203.11,14947,4,40.76,81.9,76.11,4221.2
2025-04-25T15:23:00.159814,George Russell,6,201.82,12549,4,68.51,90.17,2.84,3756.9
2025-01-25T22:50:57.363774,Max Verstappen,13,284.53,8297,1,32.18,93.75,8.94,4185.95
2025-02-14T01:14:40.517168,Charles Leclerc,3,254.83,10323,3,77.9,66.35,87.28,3029.06
2025-04-22T21:06:09.422752,Daniel Ricciardo,14,240.66,14106,2,96.97,52.13,-86.87,2625.67
2025-01-23T11:10:06.009010,George Russell,5,276.79,13341,1,98.43,30.48,7.48,1917.24
2025-03-24T23:36:10.242968,Charles Leclerc,20,233.57,10138,8,43.88,2.0,32.14,1596.27
2025-03-17T14:55:31.926395,Sergio Perez,1,192.39,9320,3,62.48,36.83,-49.74,88.63
2025-01-02T11:52:25.835330,Fernando Alonso,8,338.29,9379,4,40.23,24.77,-17.62,2625.02
2025-04-05T03:26:01.983629,Lando Norris,13,123.43,14517,6,84.33,60.03,36.26,3832.97
2025-04-19T13:37:26.189281,Daniel Ricciardo,2,253.25,10914,2,62.74,85.35,-2.36,4356.98
2025-04-09T10:04:57.261092,Charles Leclerc,4,236.07,11466,5,80.59,12.9,-65.21,3567.77
2025-01-23T09:09:25.555341,Max Verstappen,6,221.17,14681,1,47.71,42.32,78.02,1620.14
2025-01-30T03:13:50.054075,Carlos Sainz,19,125.73,14914,3,3.09,60.82,-59.78,2817.87
2025-01-16T13:52:18.841506,Lando Norris,9,349.57,10348,7,26.38,87.35,47.75,34.38
2025-02-25T00:29:15.271036,Max Verstappen,19,239.61,10876,1,7.85,41.81,87.2,3643.64
2025-03-10T10:41:42.081781,Carlos Sainz,10,201.54,10950,5,44.68,75.8,-83.64,4369.12
2025-02-25T13:45:47.826254,Lando Norris,6,151.09,10918,4,88.27,83.57,33.04,520.94
2025-03-18T21:41:08.506138,Max Verstappen,8,214.4,9184,3,84.75,22.4,59.7,497.55
2025-01-01T19:04:38.420547,Fernando Alonso,10,134.91,14979,1,94.16,63.52,-48.79,152.35
2025-03-31T06:37:52.283198,Carlos Sainz,14,343.92,9293,2,60.68,82.31,-9.41,1919.36
2025-01-17T03:51:38.917769,Max Verstappen,12,258.35,8866,7,85.17,66.87,-13.25,1410.87
2025-02-28T12:32:41.317595,Max Verstappen,20,171.66,14804,4,27.81,49.89,-15.75,2873.55
2025-03-24T20:39:10.297506,Sergio Perez,9,239.53,12476,5,32.04,55.08,36.46,2324.37
2025-03-16T17:34:18.072227,Charles Leclerc,19,200.12,8231,5,14.02,3.24,-43.41,1864.21
2025-02-05T19:16:47.780792,Fernando Alonso,3,214.55,13205,7,87.91,18.21,69.19,4269.73
2025-02-24T18:24:21.040032,Sebastian Vettel,4,272.1,12039,4,44.73,33.92,12.48,4401.97
2025-04-07T19:42:28.280865,Fernando Alonso,10,144.24,12092,5,89.31,79.65,24.77,3767.55
2025-03-13T14:43:47.240696,Charles Leclerc,7,202.17,10893,4,27.39,61.39,70.75,578.69
2025-03-21T04:26:03.804615,Max Verstappen,19,106.41,11688,2,46.32,46.76,-5.61,587.9
2025-01-06T17:04:47.657384,George Russell,18,126.86,9184,2,24.31,80.51,24.63,4737.83
2025-01-26T07:12:17.511186,Sebastian Vettel,10,109.36,8693,8,1.34,12.61,27.68,617.25
2025-03-29T15:21:09.980186,Sebastian Vettel,9,257.71,14480,8,55.66,73.77,40.18,1639.6
2025-03-22T23:05:31.618315,Sebastian Vettel,3,164.73,9246,5,72.84,21.38,-76.86,4825.12
2025-04-14T21:43:03.472349,Lando Norris,14,252.13,8684,1,80.47,79.56,9.14,3872.81
2025-03-30T12:10:52.949258,George Russell,18,252.7,10694,1,62.67,64.73,-39.68,4768.97
2025-02-08T06:07:42.933173,George Russell,9,149.16,14826,4,12.88,88.94,35.18,2370.62
2025-04-24T07:52:22.382743,Lewis Hamilton,10,188.77,14883,7,16.34,39.55,-23.99,883.24
2025-02-21T03:17:09.522548,Charles Leclerc,6,274.56,10187,5,60.31,42.49,-1.96,749.3
2025-03-28T16:02:45.729358,George Russell,15,240.05,13930,1,96.65,5.31,31.05,2295.32
2025-04-17T04:52:36.462031,Lewis Hamilton,18,143.28,8665,8,95.24,25.7,60.38,1759.71
2025-04-16T12:33:21.958004,Lewis Hamilton,17,213.25,10889,7,80.67,64.36,-85.72,789.34
2025-02-24T10:05:26.194320,Charles Leclerc,12,221.23,8708,1,37.55,45.36,-70.46,4019.77
2025-02-25T13:33:23.294600,Lando Norris,17,241.36,14338,5,45.49,19.66,-55.37,1830.28
2025-01-21T00:46:57.312709,Fernando Alonso,5,234.23,10445,3,98.9,70.24,27.98,1380.26
2025-04-14T07:53:07.474047,Sergio Perez,13,284.61,9267,4,32.88,83.37,58.9,3888.9
2025-02-05T11:00:08.182241,George Russell,6,258.17,12111,8,77.64,48.36,78.05,1624.69
2025-04-15T07:03:43.940145,Lando Norris,4,137.5,11965,7,56.08,59.83,67.11,3749.3
2025-02-02T11:16:59.948244,Charles Leclerc,8,339.8,13751,6,54.32,30.97,57.65,3238.87
2025-02-14T20:12:14.564151,Charles Leclerc,14,281.48,13117,7,51.2,40.02,68.3,4125.59
2025-03-13T09:08:39.197238,Charles Leclerc,14,310.24,11771,4,34.22,68.98,14.62,626.93
2025-02-22T01:33:26.513866,Lando Norris,5,284.31,13699,8,78.17,24.69,13.64,3922.08
2025-02-17T15:36:06.897421,Charles Leclerc,4,294.7,14398,6,10.63,76.32,10.22,4702.88
2025-03-03T02:22:49.707080,Lewis Hamilton,11,171.67,11961,5,13.6,9.31,-14.15,1817.28
2025-04-16T16:42:46.253213,Fernando Alonso,13,182.54,10245,2,10.07,29.83,10.04,3219.65
2025-03-23T19:54:01.439491,Carlos Sainz,10,313.88,12536,8,16.29,97.95,47.81,496.6
2025-04-24T10:49:02.967711,Sergio Perez,15,164.63,14891,8,76.92,88.56,-70.11,4473.99
2025-02-18T10:23:59.488375,Max Verstappen,18,176.8,8507,4,31.62,32.01,-52.45,2853.15
2025-03-18T13:19:15.652767,Carlos Sainz,6,178.14,8269,3,19.43,44.8,79.68,1511.33
2025-03-01T16:19:29.016928,Carlos Sainz,2,159.02,9364,5,78.34,90.67,64.24,2617.65
2025-03-05T13:23:04.577706,Daniel Ricciardo,10,254.85,8049,4,58.57,16.74,-22.41,3529.83
2025-03-22T20:43:02.619094,George Russell,4,110.35,9001,8,55.6,19.21,5.36,2810.76
2025-03-21T03:20:42.325731,Lewis Hamilton,9,142.74,10838,3,86.78,47.68,39.67,36.45
2025-02-22T16:28:06.349123,Fernando Alonso,15,291.47,9473,2,6.36,42.18,-83.21,4779.8
2025-04-18T22:11:47.526414,Fernando Alonso,6,248.94,8525,6,46.01,33.38,-23.28,2500.01
2025-03-03T23:01:11.546726,Carlos Sainz,13,309.8,10929,2,44.49,92.96,-24.34,3000.76
2025-01-28T23:39:45.056859,George Russell,1,340.15,14193,1,68.68,7.59,-87.6,4597.78
2025-02-17T22:46:25.798961,George Russell,11,294.64,13523,4,60.85,68.64,-30.36,167.54
2025-03-01T18:54:42.719870,Daniel Ricciardo,9,198.17,13341,4,5.16,66.16,0.13,2846.41
2025-02-19T08:36:13.503242,Lewis Hamilton,2,222.44,9528,6,64.32,0.82,-3.51,2324.51
2025-01-17T05:34:12.490481,Max Verstappen,5,136.58,11295,8,32.18,99.98,-50.04,2636.17
2025-02-05T18:03:13.759446,Lando Norris,20,143.85,14544,5,19.13,93.25,62.9,4667.73
2025-02-24T03:19:14.746336,Carlos Sainz,17,317.71,14262,2,39.32,4.02,-44.1,565.67
2025-01-15T16:18:16.427347,Daniel Ricciardo,9,341.65,9051,5,42.69,80.95,-5.73,14.09
2025-02-08T14:43:17.502064,Lewis Hamilton,9,295.25,10518,4,82.65,74.13,72.49,4973.86
2025-03-16T03:46:17.698593,Charles Leclerc,12,246.5,11061,5,83.47,81.75,-77.16,4549.18
2025-04-19T01:34:26.741527,Daniel Ricciardo,12,134.36,8489,2,11.84,16.24,12.29,1335.83
2025-02-12T22:58:35.296182,Lando Norris,11,213.07,9600,8,87.42,98.67,-66.95,1018.57
2025-01-06T21:55:47.975965,George Russell,7,177.52,10471,3,47.02,88.92,72.1,1753.17
2025-01-13T22:33:52.701830,George Russell,7,129.99,10621,2,7.55,56.13,-35.76,2558.41
2025-01-01T20:17:47.258976,George Russell,2,150.9,13324,7,99.15,45.21,-57.6,174.75
2025-04-15T08:42:14.263855,George Russell,15,325.33,9660,3,83.74,78.65,65.41,1280.55
2025-02-14T01:13:41.139025,Lewis Hamilton,3,325.6,13036,2,63.88,7.25,70.95,3053.85
2025-01-08T09:42:28.436357,Sebastian Vettel,18,253.03,12030,4,55.4,68.34,30.78,3535.34
2025-04-22T21:55:17.998309,Fernando Alonso,20,300.01,10146,1,31.36,49.26,37.83,108.3
2025-03-12T04:00:20.521489,Carlos Sainz,9,244.95,8679,1,79.98,71.33,28.29,3343.59
2025-03-30T08:02:46.957168,Daniel Ricciardo,19,176.02,11300,2,91.21,92.19,19.6,2295.86
2025-01-28T11:38:10.348610,Max Verstappen,15,104.31,11944,5,25.78,31.26,-32.6,4989.88
2025-02-10T18:51:41.872863,Sebastian Vettel,7,277.54,9216,1,62.23,42.29,43.76,2472.19
2025-02-12T16:22:49.546228,Fernando Alonso,7,149.8,11400,4,59.69,70.48,1.76,3767.18
2025-02-04T16:13:24.145967,Max Verstappen,11,128.23,8071,6,59.02,15.35,-13.95,1213.96
2025-03-25T15:54:33.982047,Fernando Alonso,1,188.6,11353,4,16.76,68.99,-48.69,270.16
2025-01-29T01:26:26.847285,Lando Norris,10,190.41,14438,5,17.05,71.83,-50.46,4866.47
2025-03-18T05:42:52.231331,Lewis Hamilton,2,349.92,11690,8,41.01,78.33,20.23,1005.62
2025-03-11T10:45:44.600382,Max Verstappen,5,192.81,13117,3,85.27,8.65,63.52,511.25
2025-03-15T22:05:04.701106,Carlos Sainz,8,181.94,8408,4,21.63,26.47,-51.16,2990.61
2025-04-09T02:57:39.203349,Daniel Ricciardo,12,334.82,13807,3,30.73,98.7,82.99,2271.4
2025-02-03T06:20:25.971836,Carlos Sainz,4,313.52,13629,5,23.11,25.89,5.59,985.77
2025-01-23T17:33:11.816910,George Russell,14,257.39,10549,8,37.32,48.95,-1.71,3317.72
2025-03-19T10:06:14.568472,Carlos Sainz,3,144.72,14552,8,94.64,30.13,-67.06,1138.68
2025-01-04T01:11:55.170458,George Russell,5,151.0,12557,6,57.16,41.58,68.11,4441.93
2025-02-05T08:10:40.174742,Daniel Ricciardo,11,242.22,14156,6,67.94,7.66,-76.84,1331.61
2025-04-28T02:58:53.139249,Lando Norris,16,316.32,11542,6,65.42,21.76,34.02,1332.27
2025-03-27T18:23:01.355236,Sergio Perez,7,161.82,10655,2,6.51,31.87,40.04,3527.64
2025-04-09T07:30:30.306205,Charles Leclerc,8,349.17,11434,7,34.97,63.66,-86.44,4616.16
2025-04-06T20:44:40.516896,Daniel Ricciardo,3,328.21,13501,2,3.02,76.46,-13.82,3324.71
2025-02-19T20:17:35.147386,George Russell,2,207.13,10485,1,46.9,98.89,70.84,4111.98
2025-03-19T17:15:54.157865,Carlos Sainz,14,125.08,9045,4,86.36,12.82,48.81,4899.38
2025-03-18T23:12:59.654487,Sebastian Vettel,4,126.25,14893,4,90.78,77.13,73.87,3667.83
2025-01-07T00:50:46.652265,Lando Norris,1,188.36,11932,3,59.1,20.32,56.86,216.03
2025-01-02T07:04:31.710874,Daniel Ricciardo,15,192.9,12031,2,41.31,2.78,-71.9,2458.34
2025-03-24T12:14:19.588017,Charles Leclerc,4,142.54,9648,4,99.33,16.46,-71.44,4338.69
2025-04-01T17:08:38.556604,Fernando Alonso,1,173.32,12442,2,33.75,10.3,-58.95,3279.58
2025-02-03T18:39:04.785829,Max Verstappen,2,314.21,13149,4,75.78,72.1,-36.02,519.43
2025-03-09T13:57:48.804601,Lewis Hamilton,9,335.88,8927,3,30.31,19.07,-87.69,2157.86
2025-02-20T23:21:53.743832,Charles Leclerc,11,293.22,11305,4,0.47,50.92,-18.42,2211.11
2025-04-19T10:41:17.107736,George Russell,4,257.86,13610,4,35.34,44.1,-5.16,452.92
2025-02-14T10:18:53.686924,Daniel Ricciardo,3,184.46,13871,3,39.75,86.15,6.33,3676.64
2025-01-18T08:41:47.389349,Lewis Hamilton,16,158.22,14146,3,73.91,9.8,-57.68,4307.62
2025-03-07T15:03:58.257006,Daniel Ricciardo,14,122.84,13674,1,47.93,88.95,20.35,1513.73
2025-01-10T20:56:20.937544,Daniel Ricciardo,7,223.21,8331,3,83.78,80.61,1.53,322.38
2025-01-26T15:41:55.499526,Daniel Ricciardo,12,325.81,10721,4,66.6,20.65,-35.44,810.25
2025-02-25T05:33:43.818609,Sergio Perez,3,141.55,9400,2,62.81,50.96,84.79,759.66
2025-03-22T15:30:45.036338,Lewis Hamilton,9,266.46,14121,3,32.16,25.17,81.17,4466.5
2025-04-03T05:06:58.391450,Carlos Sainz,4,114.88,13715,3,97.19,77.34,-85.7,1350.65
2025-01-09T14:17:19.974059,Carlos Sainz,14,243.71,8881,6,4.74,8.75,58.43,397.78
2025-02-27T05:56:09.561826,Max Verstappen,19,168.9,14071,6,20.53,84.91,35.95,4664.85
2025-02-24T08:59:08.958412,Max Verstappen,4,222.02,14003,7,49.41,97.38,-79.34,1202.09
2025-01-05T13:17:03.028940,Sebastian Vettel,4,251.92,11282,8,19.23,78.72,41.64,3123.89
2025-01-26T19:58:46.625916,Sebastian Vettel,19,229.28,14468,1,11.13,7.96,53.1,2887.95
2025-04-17T05:12:05.964901,George Russell,16,338.06,13686,7,66.24,40.16,-6.53,1223.6
2025-02-25T22:00:49.887485,Charles Leclerc,5,238.67,10354,4,82.35,99.81,85.5,3937.92
2025-01-10T16:49:50.790405,Charles Leclerc,11,118.62,9503,5,39.94,52.42,54.2,2236.68
2025-02-15T23:09:54.110274,Daniel Ricciardo,2,220.63,13354,2,54.34,26.38,16.61,3920.58
2025-01-07T11:07:06.696387,Carlos Sainz,20,285.67,8995,7,15.85,17.57,0.05,962.68
2025-02-12T10:41:38.886319,Fernando Alonso,19,293.42,11081,1,74.77,69.49,83.91,1804.8
2025-02-16T17:27:22.480530,Charles Leclerc,5,124.78,11408,5,77.27,11.91,50.02,1704.45
2025-02-20T12:54:50.841120,Fernando Alonso,16,122.74,14973,4,58.78,22.84,7.51,3381.51
2025-03-27T05:24:21.467652,Carlos Sainz,13,305.09,9985,3,77.83,97.78,44.6,2101.84
2025-02-06T06:52:09.127791,Fernando Alonso,5,293.6,8493,3,27.16,52.74,-43.03,4521.49
2025-03-01T02:28:47.622624,Lando Norris,4,144.42,11235,1,15.31,32.64,79.94,2400.83
2025-03-11T05:03:51.212569,Lando Norris,14,299.98,10092,3,30.84,73.77,35.59,1560.77
2025-03-19T23:33:33.572009,Sebastian Vettel,18,155.27,14806,2,84.92,46.82,-44.1,2838.37
2025-02-22T01:41:43.920285,Max Verstappen,14,318.54,10860,3,4.21,21.93,-32.18,1256.33
2025-04-16T18:47:29.445746,Fernando Alonso,15,276.3,13494,3,4.65,98.63,-0.72,926.9
2025-01-22T00:07:21.181019,Daniel Ricciardo,14,311.71,11090,1,89.82,58.77,-56.05,2261.35
2025-01-03T00:24:36.287177,Lando Norris,15,282.02,10921,4,2.53,24.72,60.29,4679.2
2025-01-20T03:15:08.718493,Fernando Alonso,3,250.46,11511,7,1.87,82.64,37.08,3389.31
2025-04-19T02:25:19.992602,Sergio Perez,20,173.85,11511,4,59.74,16.93,-3.33,661.59
2025-03-20T22:00:22.561038,Carlos Sainz,19,266.13,13703,4,34.33,62.52,-72.46,348.76
2025-02-27T11:13:54.489864,Max Verstappen,19,256.68,8544,6,48.46,19.4,-64.87,4446.06
2025-01-03T20:18:16.521879,Max Verstappen,9,107.55,9067,7,27.34,65.11,42.94,3116.75
2025-02-15T22:43:52.309642,Carlos Sainz,18,311.66,10718,3,98.72,57.59,42.04,3837.53
2025-01-14T19:18:42.210918,Charles Leclerc,18,247.49,11192,3,70.1,14.38,27.17,3713.5
2025-01-13T15:40:44.420802,Lewis Hamilton,7,117.48,8741,8,70.54,98.57,9.48,1076.45
2025-04-02T05:21:43.240310,Carlos Sainz,16,194.36,13716,1,24.94,13.66,-16.08,2056.01
2025-04-28T10:24:35.992495,Carlos Sainz,11,254.82,9164,6,51.14,31.48,72.45,4265.48
2025-02-17T08:37:52.312000,Fernando Alonso,5,337.75,14929,2,53.56,25.49,55.35,4674.72
2025-03-12T07:01:02.827507,Carlos Sainz,3,108.86,10335,7,18.87,93.63,-15.17,4518.6
2025-03-07T18:53:29.124079,Max Verstappen,5,225.29,10079,1,63.58,11.78,-1.76,2897.06
2025-04-27T18:17:03.140010,Sergio Perez,9,240.73,11936,5,94.55,40.23,-15.77,147.81
2025-02-23T22:26:17.802312,Carlos Sainz,2,128.72,9425,5,56.48,44.02,-71.8,509.2
2025-04-05T17:30:27.542851,Sergio Perez,14,262.93,11757,6,81.63,83.42,-24.88,3520.92
2025-01-16T07:04:13.725075,Sergio Perez,3,121.03,13191,2,79.93,63.29,-45.86,861.76
2025-01-04T00:31:35.003839,Daniel Ricciardo,19,133.24,12927,3,53.29,68.25,-57.43,4843.35
2025-04-06T22:03:20.732434,Daniel Ricciardo,11,176.05,11414,7,22.05,90.62,41.64,1985.94
2025-04-16T23:37:19.597247,Daniel Ricciardo,8,213.31,9175,1,42.23,62.12,51.77,383.38
2025-02-01T14:26:07.297433,Max Verstappen,19,161.34,10422,5,60.58,48.95,-56.62,3993.11
2025-04-06T23:03:38.137202,George Russell,8,327.79,8253,1,49.47,87.46,-57.12,4112.59
2025-01-07T22:17:26.877252,Daniel Ricciardo,9,137.93,14026,5,73.06,45.02,54.13,593.26
2025-03-01T11:35:13.861750,George Russell,5,337.46,14751,6,55.97,76.8,84.08,4817.84
2025-03-07T16:11:41.572797,Sebastian Vettel,1,222.2,8951,2,90.1,22.58,24.73,2730.29
2025-04-27T09:17:16.644134,Charles Leclerc,14,300.66,8140,1,40.31,3.92,35.41,1452.58
2025-03-31T02:30:05.954634,Fernando Alonso,9,114.75,13794,8,57.15,19.17,-72.95,4369.13
2025-01-16T07:19:52.767174,Lando Norris,10,297.77,10033,2,52.96,24.76,-51.77,4933.96
2025-04-27T05:05:19.626477,Carlos Sainz,9,236.98,10249,1,23.47,79.12,13.25,4680.74
2025-04-08T00:22:57.648396,George Russell,14,180.43,11411,5,90.97,81.31,-68.46,3249.31
2025-01-30T16:47:07.764632,Fernando Alonso,2,209.46,12302,7,89.93,59.69,32.17,4817.0
2025-03-02T03:41:37.182056,Sergio Perez,2,150.55,9772,5,85.33,58.59,38.27,4744.35
2025-04-16T22:13:40.083835,Sergio Perez,11,246.84,12229,6,35.52,91.83,11.05,3688.3
2025-04-04T11:47:58.096794,Lando Norris,13,335.84,12424,2,16.51,65.48,-26.23,419.36
2025-03-19T13:48:57.410467,Lewis Hamilton,12,297.53,14708,2,3.14,43.56,67.59,451.41
2025-03-08T20:19:39.346343,Lewis Hamilton,3,115.07,9287,4,74.84,57.81,11.92,1578.27
2025-02-24T05:28:53.450219,Lando Norris,4,251.52,10154,1,82.05,26.41,-2.77,2123.3
2025-03-12T11:52:29.435141,Daniel Ricciardo,11,293.85,11831,1,95.81,99.0,-7.75,4085.73
2025-04-28T13:37:13.330611,Daniel Ricciardo,11,283.52,14135,8,84.52,89.93,56.27,1259.62
2025-04-19T02:46:22.116476,Charles Leclerc,17,265.02,10017,6,69.82,44.89,19.61,4761.02
2025-01-27T13:38:53.797997,Sebastian Vettel,8,185.9,13430,1,13.14,39.91,-28.37,4749.72
2025-02-08T05:50:37.213180,Sebastian Vettel,4,100.55,12691,6,84.83,10.2,-37.97,4835.36
2025-04-14T12:07:08.356622,Sergio Perez,8,288.61,13147,1,24.29,60.84,85.51,3194.01
2025-04-15T07:01:05.178613,Carlos Sainz,4,226.76,8689,1,42.92,35.05,18.8,2928.95
2025-01-30T07:12:09.388913,Max Verstappen,20,276.44,12085,6,50.58,41.69,-15.77,3896.63
2025-02-28T00:03:15.067314,Carlos Sainz,5,341.42,11292,2,3.09,31.51,-30.41,2617.62
2025-03-11T17:29:07.501044,Sergio Perez,12,126.0,10829,8,36.57,38.99,1.94,677.75
